date_local,wx_record_id,zone,recomputed_kwh,airtable_kwh_auto,delta_kwh,delta_pct,status
2026-01-11,recuNUrtFaufz2ra5,Stairs,9.567,9.567,0.000,0.00,OK
2026-01-11,recuNUrtFaufz2ra5,LR,10.901,10.901,0.000,0.00,OK
2026-01-11,recuNUrtFaufz2ra5,Kitchen,4.694,4.692,0.002,0.04,OK
2026-01-11,recuNUrtFaufz2ra5,Up Bath,1.509,1.509,0.000,0.00,OK
2026-01-11,recuNUrtFaufz2ra5,MANC,6.068,6.218,-0.150,2.41,WARN
2026-01-11,recuNUrtFaufz2ra5,Master,10.752,10.746,0.006,0.06,OK
2026-01-11,recuNUrtFaufz2ra5,Den,0.788,0.788,0.000,0.00,OK
2026-01-11,recuNUrtFaufz2ra5,Guest Hall,0.000,0.000,0.000,0.00,OK
2026-01-11,recuNUrtFaufz2ra5,Laundry,0.000,0.000,0.000,0.00,OK
2026-01-11,recuNUrtFaufz2ra5,Guest Bath,0.000,0.000,0.000,0.00,OK
2026-01-11,recuNUrtFaufz2ra5,Entryway,0.000,0.000,0.000,0.00,OK
2026-01-11,recuNUrtFaufz2ra5,Guest Room,0.000,0.000,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,Stairs,45.938,43.365,2.573,5.93,FAIL
2026-01-12,recOqMEo2PY6OrRqM,LR,11.239,10.570,0.669,6.33,FAIL
2026-01-12,recOqMEo2PY6OrRqM,Kitchen,7.073,6.938,0.135,1.95,OK
2026-01-12,recOqMEo2PY6OrRqM,Up Bath,0.536,0.536,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,MANC,0.000,0.000,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,Master,12.430,11.782,0.648,5.50,FAIL
2026-01-12,recOqMEo2PY6OrRqM,Den,24.448,23.685,0.763,3.22,FAIL
2026-01-12,recOqMEo2PY6OrRqM,Guest Hall,0.000,0.000,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,Laundry,0.000,0.000,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,Guest Bath,0.381,0.381,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,Entryway,0.000,0.000,0.000,0.00,OK
2026-01-12,recOqMEo2PY6OrRqM,Guest Room,0.000,0.000,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,Stairs,21.580,19.799,1.781,9.00,FAIL
2026-01-13,recYpqtqAI0IcWM2E,LR,5.946,5.466,0.480,8.78,WARN
2026-01-13,recYpqtqAI0IcWM2E,Kitchen,4.831,4.564,0.267,5.85,WARN
2026-01-13,recYpqtqAI0IcWM2E,Up Bath,0.333,0.290,0.043,14.83,WARN
2026-01-13,recYpqtqAI0IcWM2E,MANC,0.000,0.000,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,Master,19.914,17.721,2.193,12.38,FAIL
2026-01-13,recYpqtqAI0IcWM2E,Den,26.154,25.030,1.124,4.49,FAIL
2026-01-13,recYpqtqAI0IcWM2E,Guest Hall,0.000,0.000,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,Laundry,0.000,0.000,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,Guest Bath,0.346,0.311,0.035,11.25,WARN
2026-01-13,recYpqtqAI0IcWM2E,Entryway,0.000,0.000,0.000,0.00,OK
2026-01-13,recYpqtqAI0IcWM2E,Guest Room,0.000,0.000,0.000,0.00,OK
